id	text	count
29845	Velar  SE   S-C  R-Dynamic	74
29846	Velar  HSE   S-C  R-Dynamic	71
27549	Range_Rover_Sport  HSE  Dynamic  SDV8	63
29847	Range_Rover_Sport  HSE  Dynamic  Si4  #Pnev#	62
26526	Range_Rover_Evoque  SE  Dynamic	59
26528	Range_Rover_Evoque  SE  Dynamic	59
26534	Range_Rover_Evoque  SE  Dynamic	59
26592	Velar  SE  R-Dynamic	59
5270	Range_Rover_Evoque  SE  Dynamic	59
5271	Range_Rover_Evoque  SE  Dynamic	59
5272	Range_Rover_Evoque  SE  Dynamic	59
26209	Velar  SE  R-Dynamic	59
26211	Velar  SE  R-Dynamic	59
26214	Velar  SE  R-Dynamic	59
26219	Velar  SE  R-Dynamic	59
29848	Range_Rover  SE  Vogue  S-C	57
29272	Range_Rover  SE  #L#  Vogue	57
29273	Range_Rover  SE  Vogue  SDV8	56
26215	Velar  HSE  R-Dynamic	56
26212	Velar  HSE  R-Dynamic	56
5221	Range_Rover_Evoque  HSE  Dynamic	56
5222	Range_Rover_Evoque  HSE  Dynamic	56
20507	Range_Rover_Evoque  HSE  Dynamic	56
26593	Velar  HSE  R-Dynamic	56
26532	Range_Rover_Evoque  HSE  Dynamic	56
26538	Range_Rover_Evoque  HSE  Dynamic	56
26530	Range_Rover_Evoque  HSE  Dynamic	56
26524	Range_Rover_Evoque  HSE  Dynamic	56
27555	Range_Rover_Sport  HSE  Dynamic	56
27557	Range_Rover_Sport  HSE  Dynamic	56
29274	Range_Rover  SE  Vogue  Si4	54
29275	Range_Rover  SE  Vogue  TDV6	54
29844	Velar  S   S-C  R-Dynamic	54
29842	Velar  SE   S-C	52
29277	Range_Rover  SE  Vogue  #Supercharged#	51
29278	Range_Rover  SE  Vogue	49
26333	F-Type  R-Dynamic  #F-Type#	45
26023	F-Type  R-Dynamic  #F-Type#	45
26331	F-Type  R-Dynamic  #F-Type#	45
26025	F-Type  R-Dynamic  #F-Type#	45
26027	F-Type  R-Dynamic  #F-Type#	45
26031	F-Type  R-Dynamic  #F-Type#	45
26033	F-Type  R-Dynamic  #F-Type#	45
26035	F-Type  R-Dynamic  #F-Type#	45
27552	Range_Rover_Sport  SE  Si4	42
27545	Range_Rover_Sport  SE  TDV6	42
27550	Range_Rover_Sport  Dynamic  Autobiography  SDV8	40
28855	E-Pace  S  R-Dynamic	40
26544	Discovery_Sport  HSE  Luxury	40
26546	Discovery_Sport  HSE  Luxury	40
26549	Discovery_Sport  HSE  Luxury	40
25821	Discovery  HSE  Luxury	40
25816	Discovery  HSE  Luxury	40
5161	Discovery_Sport  HSE  Luxury	40
28865	E-Pace  S  R-Dynamic	40
28861	E-Pace  S  R-Dynamic	40
28871	E-Pace  S  R-Dynamic	40
28875	E-Pace  S  R-Dynamic	40
29869	E-Pace  S  R-Dynamic	40
29843	Velar   S-C  R-Dynamic  Base	39
29260	Range_Rover  HSE  TDV6	39
26207	Velar  SE 	39
26208	Velar  S  R-Dynamic	39
26213	Velar  S  R-Dynamic	39
26218	Velar  S  R-Dynamic	39
26589	Velar  S  R-Dynamic	39
27546	Range_Rover_Sport  HSE  TDV6	39
26591	Velar  S  R-Dynamic	39
26210	Velar  SE 	38
5165	Discovery_Sport  SE	37
5275	Range_Rover_Evoque  SE	37
5276	Range_Rover_Evoque  SE	37
25814	Discovery  SE	37
25819	Discovery  SE	37
25549	Range_Rover_Evoque  SE	37
26587	Velar  SE	37
27554	Range_Rover_Sport  SE	37
26585	Velar  SE	37
26547	Discovery_Sport  SE	37
26582	Velar  SE	37
26542	Discovery_Sport  SE	37
26540	Discovery_Sport  SE	37
28856	E-Pace  SE  R-Dynamic	36
27547	Range_Rover_Sport  HSE  SDV6	36
28876	E-Pace  SE  R-Dynamic	36
28872	E-Pace  SE  R-Dynamic	36
28862	E-Pace  SE  R-Dynamic	36
28866	E-Pace  SE  R-Dynamic	36
29259	Range_Rover  HSE  #Supercharged#	36
29870	E-Pace  SE  R-Dynamic	36
27548	Range_Rover_Sport  Dynamic  Autobiography  SDV6	35
26541	Discovery_Sport  HSE	34
26543	Discovery_Sport  HSE	34
26545	Discovery_Sport  HSE	34
26523	Range_Rover_Evoque  HSE	34
26548	Discovery_Sport  HSE	34
25820	Discovery  HSE	34
25815	Discovery  HSE	34
5163	Discovery_Sport  HSE	34
5225	Range_Rover_Evoque  HSE	34
29871	E-Pace  HSE  R-Dynamic	34
28867	E-Pace  HSE  R-Dynamic	34
28863	E-Pace  HSE  R-Dynamic	34
28873	E-Pace  HSE  R-Dynamic	34
28877	E-Pace  HSE  R-Dynamic	34
29253	Range_Rover  Dynamic  Autobiography	33
27558	Range_Rover_Sport  Dynamic  Autobiography	33
27556	Range_Rover_Sport  Dynamic  Autobiography	33
29841	Velar  S   S-C	32
29256	Range_Rover  #L#  Autobiography  SDV8	26
29849	Range_Rover  #L#  Autobiography  Si4  PHEV	25
25058	F-Type  #F-Type#  SVR	23
26030	F-Type  #F-Type#  SVR	23
26165	Velar  R-Dynamic	22
26166	Velar  R-Dynamic	22
26167	Velar  R-Dynamic	22
4120	F-Type  R  #F-Type#	22
4121	F-Type  R  #F-Type#	22
27544	Range_Rover_Sport  S  TDV6	22
27551	Range_Rover_Sport  S  Si4	22
26590	Velar  R-Dynamic	22
29839	Velar  R-Dynamic	22
29265	Range_Rover  #L#  Vogue	20
29266	Range_Rover  #L#  Vogue	20
4128	F-Type  #F-Type#	20
4129	F-Type  #F-Type#	20
26024	F-Type  #F-Type#	20
26026	F-Type  #F-Type#	20
26034	F-Type  #F-Type#	20
26032	F-Type  #F-Type#	20
26332	F-Type  #F-Type#	20
26330	F-Type  #F-Type#	20
26206	Velar  S 	19
29267	Range_Rover  Vogue  SDV8	19
29254	Range_Rover  #L#  Autobiography	19
29255	Range_Rover  Autobiography  SDV8	18
29262	Range_Rover  #L#  SDV8  SVAutobiography	17
29837	Velar  S	17
29840	Velar   S-C  Base	17
26586	Velar  S	17
26581	Velar  S	17
26584	Velar  S	17
27553	Range_Rover_Sport  S	17
25818	Discovery  S	17
25813	Discovery  S	17
26685	XJ  #L#  Luxury  Premium	16
26686	XJ  #L#  Luxury  Premium	16
28858	E-Pace  S	15
28853	E-Pace  S	15
25268	F-Pace  S	15
20497	XF  S	15
26200	F-Pace  S	15
26186	XE  S	15
29866	E-Pace  S	15
29565	I-Pace  S	15
28868	E-Pace  S	15
29860	XF   #Sport#  R-Sport	14
26687	XJ  #L#  Portfolio	13
26684	XJ  #L#  Luxury	13
29263	Range_Rover  Vogue	12
29264	Range_Rover  Vogue	12
29566	I-Pace  SE	11
28869	E-Pace  SE	11
29258	Range_Rover  Autobiography	11
29867	E-Pace  SE	11
29851	XJ  #L#  #XJ50#	11
29853	XJ  #L#  #XJ50#	11
28854	E-Pace  SE	11
28859	E-Pace  SE	11
26531	Range_Rover_Evoque  Autobiography	11
26628	XE  R-Sport	10
26629	F-Pace  R-Sport	10
26683	XJ  R-Sport	10
26688	XJ  #L#  Autobiography	10
26689	XJ  #L#  Autobiography	10
27364	XF  R-Sport	10
26195	F-Pace  R-Sport	10
20500	XE  R-Sport	10
29855	XE  R-Sport	10
29859	XF  R-Sport	10
29863	F-Pace  R-Sport	10
29261	Range_Rover  #L#  SVAutobiography	10
28870	E-Pace  HSE	9
29567	I-Pace  HSE	9
29868	E-Pace  HSE	9
28860	E-Pace  HSE	9
26680	XJ  Luxury  Premium	8
28771	Range_Rover_Evoque  Edition  Special	6
25267	F-Pace  Prestige	6
20489	XF  Prestige	6
26190	XF  Prestige	6
26194	F-Pace  Prestige	6
29862	F-Pace  Prestige	6
29858	XF  Prestige	6
29835	Discovery_Sport  Edition  Special	6
29836	Range_Rover_Evoque  Edition  Special	6
29856	XE  Edition  #Landmark#	5
29854	XE  Edition  #Landmark#	5
26196	F-Pace  Portfolio	5
26681	XJ  Portfolio	5
26682	XJ  Portfolio	5
26630	F-Pace  Portfolio	5
26679	XJ  Luxury	5
28851	E-Pace  Standard	4
28852	E-Pace  Standard	4
28857	E-Pace  Standard	4
29857	XE   #Sport#	4
29865	E-Pace  Standard	4
29568	I-Pace  Edition  First	4
29864	F-Pace  SVR	3
29852	XJ  #XJ50#	3
26539	Discovery_Sport  Pure	3
20192	Discovery_Sport  Pure	3
5261	Range_Rover_Evoque  Pure	3
25266	F-Pace  Pure	2
29850	Range_Rover  #SV#  Coupe	2
29861	F-Pace  Pure	2
29838	Velar 	1
26153	Velar 	1
26161	Velar 	1
26162	Velar 	1
26583	Velar 	1
27559	Range_Rover_Sport  SVR	1